,matched_id,country,p_val_played,dev_played,prob_played,p_val_won,dev_won,prob_won,color,num_players
196171,C30-3328-2611,AT,0.007699711260827714,8.571781679343417,0.03571428571428562,0.6273458445040215,1.4076088464799463,1.0,b,3172
141971,A04-1373-1259,FI,0.00037887558146877404,3.2035936036802166,0.005844287843881251,0.46017175007403033,1.0086489092658042,1.0,b,2135
389544,D31-3762-7353,SY,0.004375748059870533,2.804624136084793,0.008103339248923947,0.41799788476571437,-0.7827675751624485,0.10000000000000003,b,2460
392342,A45-2121-3389,VE,0.008888357106839754,1.6701984936325658,0.013943574891803048,0.4876033057851243,-0.6241580179487849,0.21153846153846156,w,2935
214956,D00-8821-2967,PL,0.0018228886040701337,1.580688410846508,0.006764642415766578,0.9996582799380993,-0.22010464224148463,0.3333333333333333,b,11792
398526,C37-2862-1411,AU,0.00934111759799833,1.5361069222284156,0.006018278396795005,0.5094339622641512,-0.9716600815437004,0.0,w,3116
1170,D05-4328-1288,BY,0.006074715458508377,1.5166744792197455,0.006434475933204334,0.622647563778115,0.6159487114291317,0.8333333333333334,w,2144
398193,A13-1090-1839,GR,0.005378310147140457,1.5005994050717957,0.006859379868824981,0.6842672504314282,-0.487033917022117,0.25,b,3735
260362,A43-2712-2390,LK,0.0025452135346693506,1.3530685874799397,0.012874955460575085,0.6141664460358796,0.02528917898223475,0.4756700440130404,w,3526
163885,A14-1217-2159,SE,0.007404982089420053,1.1299033237893106,0.008682749290290628,0.45285276588777307,0.048709622472248935,0.5190585208442352,w,2995
96264,E51-2095-1478,AU,0.0076916142175483815,1.0633375483594825,0.005908958448098528,0.23978068351224613,-0.2719469179887747,0.34872159090909094,b,3116
84042,D80-2475-6647,AZ,0.0013296086046374889,1.0405654714662693,0.006011535511625377,0.6986588455199791,0.26661361844129994,0.5785714285714285,w,3352
147293,C47-8743-3039,LK,0.004425932648251316,0.9459357077450615,0.005769060649013787,0.9999930337773364,-0.13986606990024836,0.3333333333333333,b,3526
91839,B00-1333-6666,CA,0.005366493034542319,0.9117391771802296,0.0045933149351845524,0.8764580330484256,0.3391714804580246,0.5833333333333334,b,7867
9585,A22-8755-2692,AM,0.009617313606594055,0.8994838157091192,0.006138289693320792,1.0,0.06445337514134701,0.4761904761904762,b,2069
1914,C20-2787-2445,LK,0.0012702727458464569,0.875007705792163,0.0048763006043033115,0.04843463655163797,0.5970350625289558,0.7333333333333333,b,3526
58506,C03-5971-2292,CZ,0.006905956202208397,0.8746615471473851,0.008930621852268441,0.30281187486428907,0.019734934730336218,0.42945223134493543,b,2684
10147,B28-1287-1724,MY,0.0017420788407588013,0.8451845164498838,0.004214330187305813,0.9993017701927815,0.1849397435482811,0.6,w,4401
